Genre,Number_of_Movies
Drama,22
"Crime, Drama",10
"Biography, Drama, History",10
"Crime, Drama, Mystery",10
"Crime, Drama, Thriller",9
"Action, Adventure, Drama",6
"Drama, Romance",6
"Animation, Adventure, Comedy",6
"Action, Crime, Drama",5
"Drama, War",5
"Comedy, Drama, Romance",5
"Action, Adventure, Sci-Fi",4
"Animation, Adventure, Family",4
"Action, Adventure",4
"Mystery, Thriller",4
"Comedy, Crime, Drama",4
Western,3
"Biography, Crime, Drama",3
"Action, Adventure, Fantasy",3
"Drama, Music",3
"Action, Biography, Drama",3
"Animation, Action, Adventure",3
"Comedy, Drama",3
"Action, Drama, War",3
"Action, Comedy, Crime",3
"Action, Sci-Fi",2
"Comedy, Drama, Thriller",2
"Action, Drama, Mystery",2
"Biography, Comedy, Drama",2
"Crime, Mystery, Thriller",2
"Animation, Adventure, Drama",2
"Comedy, Drama, Family",2
"Animation, Drama, Fantasy",2
"Drama, Western",2
"Drama, Family",2
"Drama, Mystery, Thriller",2
"Drama, Mystery, War",2
"Drama, Thriller, War",2
"Drama, Family, Sport",2
"Adventure, Biography, Drama",2
"Drama, Sci-Fi",2
"Action, Drama",2
"Adventure, Comedy, Drama",2
"Biography, Drama, Sport",2
"Action, Drama, Sci-Fi",2
"Action, Comedy, Romance",2
"Drama, Thriller",2
"Comedy, Drama, Musical",2
"Adventure, Drama, Sci-Fi",1
"Crime, Drama, Fantasy",1
"Drama, Family, Fantasy",1
"Drama, Mystery, Sci-Fi",1
"Biography, Drama, Music",1
"Animation, Drama, War",1
"Adventure, Comedy, Sci-Fi",1
"Horror, Mystery, Thriller",1
"Drama, Romance, War",1
"Drama, Horror",1
"Horror, Sci-Fi",1
"Drama, Musical",1
Comedy,1
"Drama, Film-Noir",1
"Comedy, Drama, War",1
"Drama, Fantasy, Horror",1
"Crime, Drama, Music",1
"Adventure, Drama, War",1
"Drama, Romance, Sci-Fi",1
"Comedy, Romance",1
"Comedy, Crime",1
"Adventure, Drama, Thriller",1
"Crime, Drama, Sci-Fi",1
"Adventure, Sci-Fi",1
"Adventure, Mystery, Thriller",1
"Mystery, Romance, Thriller",1
"Comedy, Musical, Romance",1
"Crime, Drama, Film-Noir",1
"Drama, Mystery",1
"Action, Biography, Crime",1
"Drama, Mystery, Romance",1
"Action, Drama, Sport",1
"Drama, Fantasy, War",1
"Biography, Drama",1
"Animation, Family, Fantasy",1
"Action, Thriller",1
"Action, Adventure, Comedy",1
"Adventure, Comedy, Fantasy",1
"Adventure, Drama, History",1
"Action, Drama, Thriller",1
"Comedy, Music, Romance",1
"Drama, Fantasy, History",1
"Crime, Thriller",1
"Adventure, Drama, Western",1
"Comedy, War",1
"Animation, Drama, Family",1
"Drama, Romance, Thriller",1
"Comedy, Drama, Fantasy",1
"Adventure, Comedy, Crime",1
"Adventure, Drama, Fantasy",1
"Biography, Drama, Family",1
"Animation, Comedy, Drama",1
"Drama, Sport",1
