Director,Average_Rating
"Sidney Lumet",9
"Frank Darabont",8.95
"Francis Ford Coppola",8.866666666666667
"Peter Jackson",8.8
"Lana Wachowski",8.7
"Irvin Kershner",8.7
"Robert Zemeckis",8.65
"Steven Spielberg",8.633333333333333
"Thomas Kail",8.6
"Sudha Kongara",8.6
"Fernando Meirelles",8.6
"Roberto Benigni",8.6
"Jonathan Demme",8.6
"George Lucas",8.6
"Masaki Kobayashi",8.6
"Frank Capra",8.6
"Christopher Nolan",8.557142857142855
"David Fincher",8.5
"Sergio Leone",8.5
"Milos Forman",8.5
"Todd Phillips",8.5
"Damien Chazelle",8.5
"Olivier Nakache",8.5
"Roman Polanski",8.5
"Tony Kaye",8.5
"Bryan Singer",8.5
"Luc Besson",8.5
"Roger Allers",8.5
"Giuseppe Tornatore",8.5
"Isao Takahata",8.5
"Michael Curtiz",8.5
"Quentin Tarantino",8.475000000000001
"Ridley Scott",8.45
"James Cameron",8.4
"Nadine Labaki",8.4
"Can Ulkay",8.4
Gayatri,8.4
"Makoto Shinkai",8.4
"Bob Persichetti",8.4
"Anthony Russo",8.4
"Aamir Khan",8.4
"Andrew Stanton",8.4
"Florian Henckel von Donnersmarck",8.4
"Hrishikesh Mukherjee",8.4
"Charles Chaplin",8.38
"Bong Joon Ho",8.35
"Hayao Miyazaki",8.35
"Stanley Kubrick",8.35
"Alfred Hitchcock",8.34
"Martin Scorsese",8.328571428571431
"Billy Wilder",8.320000000000002
"Akira Kurosawa",8.316666666666668
"Nitesh Tiwari",8.3
"Lee Unkrich",8.3
"Sam Mendes",8.3
"Rahi Anil Barve",8.3
"Sriram Raghavan",8.3
"Jeethu Joseph",8.3
"Thomas Vinterberg",8.3
"Asghar Farhadi",8.3
"Mehmet Ada Ã–ztekin",8.3
"Ã‡agan Irmak",8.3
"Michel Gondry",8.3
"Jean-Pierre Jeunet",8.3
"Darren Aronofsky",8.3
"Gus Van Sant",8.3
"Majid Majidi",8.3
"John Lasseter",8.3
"Elem Klimov",8.3
"Brian De Palma",8.3
"Richard Marquand",8.3
"Wolfgang Petersen",8.3
"George Roy Hill",8.3
"David Lean",8.3
"Stanley Donen",8.3
"Vittorio De Sica",8.3
"Orson Welles",8.3
"Fritz Lang",8.3
"Chan-wook Park",8.25
"Guy Ritchie",8.25
"Denis Villeneuve",8.2
"Mel Gibson",8.2
"Aditya Dhar",8.2
"Prashanth Neel",8.2
"Peter Farrelly",8.2
"Martin McDonagh",8.2
"Meghna Gulzar",8.2
"S.S. Rajamouli",8.2
"Sergio Pablos",8.2
"Nishikant Kamat",8.2
"Vikas Bahl",8.2
"Zaza Urushadze",8.2
"Rakeysh Omprakash Mehra",8.2
"Anurag Kashyap",8.2
"Vikramaditya Motwane",8.2
"Tigmanshu Dhulia",8.2
"Juan JosÃ© Campanella",8.2
"Gavin O'Connor",8.2
"Shimit Amin",8.2
"Paul Thomas Anderson",8.2
"Guillermo del Toro",8.2
62,8.2
"Sanjay Leela Bhansali",8.2
"Ashutosh Gowariker",8.2
"Oliver Hirschbiegel",8.2
Priyadarshan,8.2
"Curtis Hanson",8.2
"Yavuz Turgul",8.2
"Michael Mann",8.2
"Rajkumar Santoshi",8.2
65,8.2
"Emir Kusturica",8.2
"John McTiernan",8.2
"Andrei Tarkovsky",8.2
"Ingmar Bergman",8.2
"Moustapha Akkad",8.2
"Ramesh Sippy",8.2
"Terry Gilliam",8.2
"John Sturges",8.2
"Robert Mulligan",8.2
"Stanley Kramer",8.2
"Jules Dassin",8.2
"YasujirÃ´ Ozu",8.2
"Joseph L. Mankiewicz",8.2
"John Huston",8.2
"Ernst Lubitsch",8.2
"Buster Keaton",8.2
"Rajkumar Hirani",8.175
"Ron Howard",8.149999999999999
"Pete Docter",8.133333333333333
"Clint Eastwood",8.133333333333333
"CÃ©line Sciamma",8.1
"Aniruddha Roy Chowdhury",8.1
"Naoko Yamada",8.1
"Oriol Paulo",8.1
"Xavier Dolan",8.1
"Vishal Bhardwaj",8.1
"James Mangold",8.1
"Lenny Abrahamson",8.1
"DamiÃ¡n Szifron",8.1
"Nuri Bilge Ceylan",8.1
"Umesh Shukla",8.1
"Wes Anderson",8.1
"Mamoru Hosoda",8.1
"Anurag Basu",8.1
"Steve McQueen",8.1
"Tom McCarthy",8.1
"Tomm Moore",8.1
"Sujoy Ghosh",8.1
"Zoya Akhtar",8.1
"George Miller",8.1
"Neeraj Pandey",8.1
"David Yates",8.1
"YÃ´jirÃ´ Takita",8.1
"Lasse HallstrÃ¶m",8.1
"Adam Elliot",8.1
"Dean DeBlois",8.1
"Sean Penn",8.1
"Ethan Coen",8.1
"Terry George",8.1
"Je-kyu Kang",8.1
"Richard Linklater",8.1
