Released_Year,Movies_Count
1921,1
1924,1
1925,1
1927,1
1931,2
1936,1
1940,1
1941,1
1942,2
1944,1
1946,1
1948,2
1950,3
1952,2
1953,1
1954,3
1955,1
1957,5
1958,1
1959,2
1960,2
1961,2
1962,3
1963,2
1964,1
1965,1
1966,1
1968,2
1971,2
1972,1
1973,1
1974,1
1975,3
1976,2
1977,1
1978,1
1979,3
1980,3
1981,2
1983,2
1984,2
1985,3
1986,1
1987,1
1988,5
1989,1
1990,1
1991,2
1992,2
1993,1
1994,6
1995,6
1996,1
1997,5
1998,3
1999,4
2000,5
2001,4
2002,3
2003,4
2004,8
2005,4
2006,6
2007,5
2008,5
2009,6
2010,6
2011,5
2012,9
2013,8
2014,10
2015,6
2016,7
2017,6
2018,8
2019,9
2020,3
